"Category","PE mapped uniquely","PE mapped discordantly uniquely","PE one mate mapped uniquely","PE multimapped","PE one mate multimapped","PE neither mate aligned"
"mapping18",25920894,200743,481690.5,1574167,79437.5,544248
"mapping19",26418669,246825,528715.5,1551680,87580.5,568011
"mapping20",25830471,231172,788258,1573619,200745,1117740
"mapping21",30067197,329514,624495,1743356,107826.5,665067.5
"mapping22",28227094,245511,556954.5,1666375,97376,615560.5
"mapping37",30445428,153284,562581.5,1562533,89759,682820.5
"mapping38",27219570,100054,489044.5,1104685,64075.5,616332
"mapping39",32317397,125886,507807.5,1633620,74235.5,594352
"mapping49",15871012,127838,294179.5,1099043,68363,543484.5
"mapping50",12556936,91035,242265.5,878446,55629,380953.5
"mapping51",20609609,143562,350870,1382989,81783,512178
"mapping52",14874004,174187,263675,1006298,65375.5,313797.5
"mapping53",12766597,66608,191413.5,925514,43638.5,289675
"mapping68",8011096,39064,245911.5,828158,67598.5,512341
"mapping69",6339001,47544,256007.5,562513,74362,678189.5
"mapping70",6582784,36875,222263,642692,63494.5,509575.5
"mapping_output",19680183,207187,761778.5,2419791,227627,2008564.5