"Category","Assigned","Unassigned: Unmapped","Unassigned: Multi Mapping","Unassigned: No Features","Unassigned: Ambiguity"
"7821918_sorted",23807097,127701,4998781,2497377,644920
"7821919_sorted",23844475,121452,5082482,3029889,689156
"7821920_sorted",22952914,469733,5878977,3801180,563481
"7821921_sorted",27117003,155738,5772179,3496261,822268
"7821922_sorted",25291879,138895,5525506,3454056,674346
"7821937_sorted",27603119,174349,4916457,3457919,528356
"7821938_sorted",25371243,158785,3508477,2346812,491626
"7821939_sorted",28985062,114557,4973264,3851905,528573
"7821949_sorted",13976364,305765,3647356,2073530,419756
"7821950_sorted",11174132,179142,2914911,1536279,331583
"7821951_sorted",18014483,227010,4553274,2777185,524929
"7821952_sorted",13015006,124272,3339706,1976521,452121
"7821953_sorted",11161150,126658,2985184,1676400,311025
"7821968_sorted",6865439,291931,2628191,1434225,153990
"7821969_sorted",5989012,450149,2007031,668999,143680
"7821970_sorted",5830140,318682,2180760,1007704,135495